Successfully parsed 87 files.
File: source\index.ts, Symbols: 28
File: source\core\constants.ts, Symbols: 23
File: source\core\Ky.ts, Symbols: 101
File: source\core\retry-timing.ts, Symbols: 7
File: source\errors\ForceRetryError.ts, Symbols: 6
File: source\errors\HTTPError.ts, Symbols: 7
File: source\errors\KyError.ts, Symbols: 3
File: source\errors\NetworkError.ts, Symbols: 5
File: source\errors\NonError.ts, Symbols: 3
File: source\errors\ResponseSizeError.ts, Symbols: 5
File: source\errors\SchemaValidationError.ts, Symbols: 4
File: source\errors\TimeoutError.ts, Symbols: 5
File: source\types\common.ts, Symbols: 2
File: source\types\hooks.ts, Symbols: 14
File: source\types\ky.ts, Symbols: 4
File: source\types\options.ts, Symbols: 17
File: source\types\request.ts, Symbols: 1
File: source\types\response.ts, Symbols: 1
File: source\types\ResponsePromise.ts, Symbols: 3
File: source\types\retry.ts, Symbols: 4
File: source\types\standard-schema.ts, Symbols: 8
File: source\utils\body.ts, Symbols: 19
File: source\utils\delay.ts, Symbols: 7
File: source\utils\is-network-error.ts, Symbols: 3
File: source\utils\is.ts, Symbols: 2
File: source\utils\merge.ts, Symbols: 28
File: source\utils\normalize.ts, Symbols: 13
File: source\utils\options.ts, Symbols: 7
File: source\utils\timeout.ts, Symbols: 7
File: source\utils\type-guards.ts, Symbols: 19
File: source\utils\types.ts, Symbols: 2
File: test\base-url.ts, Symbols: 19
File: test\body-size.ts, Symbols: 24
File: test\browser.ts, Symbols: 132
File: test\bytes.ts, Symbols: 8
File: test\context.ts, Symbols: 37
File: test\fetch.ts, Symbols: 99
File: test\formdata-searchparams.ts, Symbols: 13
File: test\headers.ts, Symbols: 97
File: test\hooks.ts, Symbols: 818
File: test\http-error.ts, Symbols: 106
File: test\http-metadata.ts, Symbols: 25
File: test\http-redirects.ts, Symbols: 19
File: test\http-response-bodies.ts, Symbols: 20
File: test\http-semantics.ts, Symbols: 21
File: test\main.ts, Symbols: 522
File: test\memory-leak.ts, Symbols: 10
File: test\methods.ts, Symbols: 24
File: test\network-error.ts, Symbols: 3
File: test\normalize.ts, Symbols: 6
File: test\prefix.ts, Symbols: 16
File: test\request-body-serialization.ts, Symbols: 19
File: test\request-options.ts, Symbols: 7
File: test\request-stream-support.ts, Symbols: 8
File: test\response-consumption.ts, Symbols: 34
File: test\response-size.ts, Symbols: 91
File: test\retry-timing.ts, Symbols: 11
File: test\retry.ts, Symbols: 522
File: test\stream.ts, Symbols: 128
File: test\type-guards.ts, Symbols: 9
File: test\with-page.ts, Symbols: 5
File: test\helpers\create-http-test-server.ts, Symbols: 12
File: test\helpers\create-large-file.ts, Symbols: 2
File: test\helpers\index.ts, Symbols: 4
File: test\helpers\parse-body.ts, Symbols: 6
File: test\helpers\with-page.ts, Symbols: 16
File: test\helpers\with-performance.ts, Symbols: 5
File: test-d\error-names.ts, Symbols: 2
File: test-d\fetch-options.ts, Symbols: 2
File: test-d\fetch-request.ts, Symbols: 3
File: test-d\forced-retry.ts, Symbols: 1
File: test-d\headers.ts, Symbols: 2
File: test-d\hooks.ts, Symbols: 6
File: test-d\init-search-params.ts, Symbols: 3
File: test-d\json-undefined-schema.ts, Symbols: 3
File: test-d\method-options.ts, Symbols: 2
File: test-d\network-error-cause.ts, Symbols: 3
File: test-d\normalized-options.ts, Symbols: 4
File: test-d\request-clone.ts, Symbols: 3
File: test-d\request-options.ts, Symbols: 2
File: test-d\response-clone.ts, Symbols: 2
File: test-d\response-promise.ts, Symbols: 2
File: test-d\response-size.ts, Symbols: 2
File: test-d\retry.ts, Symbols: 3
File: test-d\search-params.ts, Symbols: 2
File: test-d\timeout-options.ts, Symbols: 2
File: test-d\url-options.ts, Symbols: 2
